official gene symbol,gene id
CDH5,1003
CDK17,5128
CDK18,5129
CDK19,23097
CDR2,1039
CEP120,153241
CHKB,1120
CHMP1A,5119
CIAPIN1,57019
CKB,1152
CKMT1B,1159
CKMT2,1160
CLCN2,1181
CLCNKB,1188
CLDN23,137075
CLDN3,1365
CLDN8,9073
CLDND1,56650
CLEC14A,161198
CLEC16A,23274
CLEC1A,51267
CLNK,116449
CLPB,81570
CNOT8,9337
CNRIP1,25927
CNST,163882
COASY,80347
COG4,25839
COPG2,26958
COPS2,9318
COPS7A,50813
COQ2,27235
COQ3,51805
COQ9,57017
CORO1B,57175
COX5A,9377
COX8A,1351
CR1L,1379
CRB3,92359
CRELD1,78987
CRKL,1399
CRTC1,23373
CRYBG3,131544
CSDE1,7812
CSGALNACT2,55454
CSNK1D,1453
CSPG4,1464
CTNND1,1500
CTSC,1075
CTTN,2017
CUEDC1,404093
CUX1,1523
CWF19L2,143884
CXorf36,79742
CXorf40A,91966
CYB561D2,11068
CYB561,1534
CYC1,1537
CYCS,54205
CYP11A1,1583
CYSLTR1,10800
CYYR1,116159
DAAM2,23500
DAB2IP,153090
DAGLB,221955
DALRD3,55152
DARS,1615
DBN1,1627
DBNDD1,79007
DCAF16,54876
DCHS1,8642
DDR1,780
DDX50,79009
DDX59,83479
DDX6,1656
DEF8,54849
DENND5A,23258
DEPDC5,9681
DHCR7,1717
DHRS7,51635
DHX30,22907
DHX58,79132
DIAPH2,1730
DIS3L2,129563
DLC1,10395
DMRT2,10655
DOCK6,57572
DOK4,55715
DPP3,10072
DPYSL2,1808
DR1,1810
DTNB,1838
DUS1L,64118
DUSP15,128853
DYNC2LI1,51626
DYSF,8291
DYX1C1,161582
EBF1,1879
ECSCR,641700
EDNRA,1909
EGLN1,54583
EGLN3,112399
EHBP1,23301
EIF2C1,26523
ELAC2,60528
ELF2,1998
ELF3,1999
ELFN2,114794
ELMO1,9844
ELTD1,64123
ENG,2022
ENTPD1,953
EPAS1,2034
EPB41L4B,54566
EPB49,2039
EPC1,80314
EPN3,55040
ERAL1,26284
ERG,2078
ESAM,90952
ESRRA,2101
ETS1,2113
EVI5L,115704
EXOC3L2,90332
EXOC7,23265
EXOSC7,23016
EXPH5,23086
F2R,2149
FA2H,79152
FAM101B,359845
FAM102A,399665
FAM110B,90362
FAM114A2,10827
FAM115C,285966
FAM122A,116224
FAM160B1,57700
FAM162B,221303
FAM165B,54065
FAM172A,83989
FAM184B,27146
FAM189A1,23359
FAM189A2,9413
FAM26E,254228
FAM58A,92002
FAM63A,55793
FAM70B,348013
FAM71E1,112703
FAM73B,84895
FANK1,92565
FARP1,10160
FBN3,84467
FBRSL1,57666
FBXL19,54620
FBXL3,26224
FBXO33,254170
FBXO8,26269
FBXW9,84261
FCHSD2,9873
FEM1A,55527
FEM1B,10116
FGF9,2254
FHDC1,85462
FHL5,9457
FLI1,2313
FLII,2314
FLJ35390,255031
FLJ90757,440465
FLOT2,2319
FLT1,2321
FLT4,2324
FLYWCH1,84256
FLYWCH2,114984
FMNL3,91010
FOXI1,2299
FOXK2,3607
FOXN2,3344
FOXN3,1112
FOXRED1,55572
FTO,79068
FTSJ3,117246
FUK,197258
FUT11,170384
FXC1,26515
FXR2,9513
FYN,2534
G3BP1,10146
G6PC3,92579
GAA,2548
GABARAPL3,23766
GABPA,2551
GADD45G,10912
GAK,2580
GALC,2581
GALNT11,63917
GAS6,2621
GAS8,2622
GATA2,2624
GBA2,57704
GBAS,2631
GBP4,115361
GCGR,2642
GCOM1,145781
GDE1,51573
GEMIN5,25929
GIMAP4,55303
GIMAP5,55340
GIMAP6,474344
GIMAP7,168537
GIMAP8,155038
GIPC1,10755
GIPC3,126326
GJA4,2701
GJC1,10052
GLB1,2720
GLDC,2731
GLIS2,84662
GLOD4,51031
GLRB,2743
GLRX5,51218
GLTP,51228
GMDS,2762
GMPR,2766
GNA11,2767
GNG2,54331
GOT2,2806
GPR124,25960
GPR176,11245
GPR4,2828
GPRC5B,51704
GPRC5C,55890
GPS1,2873
GRB14,2888
GRB2,2885
GRB7,2886
GRK5,2869
GSS,2937
GTF2H4,2968
GTF2IRD1,9569
GTPBP5,26164
GUCY1A3,2982
GVIN1,387751
HCCS,3052
HCFC2,29915
HCN2,610
HDAC11,79885
HEATR7A,727957
HECA,51696
HECW2,57520
HEG1,57493
HEMK1,51409
HEPACAM2,253012
HEPH,9843
HES6,55502
HGS,9146
HIP1R,9026
HLA-E,3133
HMGB3,3149
HMGXB4,10042
HNF1B,6928
HNMT,3176
HOXA3,3200
HPRT1,3251
HRC,3270
HS3ST1,9957
HS6ST3,266722
HSD11B2,3291
HYDIN,54768
ICA1,3382
IDH2,3418
IDH3A,3419
IDS,3423
IFRD2,7866
IFT140,9742
INPP5J,27124
INSR,3643
IPO11,51194
IQCD,115811
IQCE,23288
ISCA2,122961
ISCU,23479
ITFG3,83986
ITGA1,3672
ITGA4,3676
KATNAL1,84056
KATNB1,10300
KBTBD12,166348
KCNE3,10008
KCNE4,23704
KCNJ11,3767
KCNQ1,3784
KCP,375616
KCTD10,83892
KCTD15,79047
KCTD1,284252
KCTD20,222658
KDELC2,143888
KDR,3791
KHDRBS1,10657
KIAA0284,283638
KIAA0556,23247
KIAA0664,23277
KIAA1429,25962
KIAA1462,57608
KIAA1543,57662
KIAA1609,57707
KIAA1737,85457
KIF13B,23303
KIF1C,10749
KIF9,64147
KIT,3815
KLC2,64837
KLHDC9,126823
KLHL23,151230
KLHL26,55295
KLHL3,26249
KLHL5,51088
KLK15,55554
LASP1,3927
LDB2,9079
LDHA,3939
LEPROTL1,23484
LGALS8,3964
LHFP,10186
LIMA1,51474
LIMCH1,22998
LLGL2,3993
LMF1,64788
LNX1,84708
LOC154761,154761
LOC285796,285796
LOC348926,348926
LOC349114,349114
LOC389493,389493
LOC401431,401431
LOC643008,643008
LOC644538,644538
LONRF1,91694
LRCH4,4034
LRFN3,79414
LRRC20,55222
LRRC32,2615
LRRC43,254050
LRRC46,90506
LRRC57,255252
LRRC70,100130733
LRRC8C,84230
LRRFIP2,9209
LRRN2,10446
LRRN4,164312
LRWD1,222229
LSM4,25804
LYPLA2P1,653639
LYPLA2,11313
LYRM7,90624
LZTS1,11178
MAEA,10296
MAFA,389692
MAP2K1,5604
MAPK1,5594
MAPKAPK3,7867
MARCH10,162333
MARCH9,92979
MBNL1,4154
MBNL2,10150
MCRS1,10445
ME3,10873
MECP2,4204
MED24,9862
MED28,80306
MEF2A,4205
MEF2C,4208
MEF2D,4209
METRNL,284207
MFAP3,4238
MFSD3,113655
MGAT4B,11282
MID1IP1,58526
MINA,84864
MKKS,8195
MKS1,54903
MMRN2,79812
MOBKL1A,92597
MPPED2,744
MPV17L2,84769
MRM1,79922
MRPL10,124995
MRPL34,64981
MRPL38,64978
MRPS25,64432
MRVI1,10335
MSH6,2956
MSN,4478
MTL5,9633
MTMR14,64419
MTSS1,9788
MTUS1,57509
MUC20,200958
MUDENG,55745
MVP,9961
MXI1,4601
MYCT1,80177
MYO10,4651
N4BP3,23138
NAP1L4,4676
NAPA,8775
NAT15,79903
NCRNA00087,644596
NDOR1,27158
NDRG2,57447
NDUFA4L2,56901
NDUFA4,4697
NDUFA6,4700
NDUFAF3,25915
NDUFB2,4708
NDUFS7,374291
NDUFV1,4723
NEDD4L,23327
NEK8,284086
NETO2,81831
NEURL1B,54492
NEURL2,140825
NEURL4,84461
NFATC3,4775
NID1,4811
NLRX1,79671
NME6,10201
NOS3,4846
NOTCH3,4854
NOTCH4,4855
NOVA2,4858
NPAS2,4862
NPLOC4,55666
NPTN,27020
NR3C1,2908
NR3C2,4306
NR5A2,2494
NRIP2,83714
NRL,4901
NRP1,8829
NSUN5,55695
NTN1,9423
NUDT22,84304
NUDT9,53343
OAS2,4939
OAZ2,4947
OCIAD1,54940
OCIAD2,132299
OGDHL,55753
OLFML2A,169611
OLIG1,116448
OSCP1,127700
OTUD7A,161725
OXNAD1,92106
P4HA1,5033
P4HTM,54681
PACRG,135138
PAG1,55824
PAK4,10298
PAK6,56924
PALM2-AKAP2,445815
PALMD,54873
PAPLN,89932
PARP3,10039
PARS2,25973
PAX8,7849
PCDH12,51294
PCNXL3,399909
PDCL,5082
PDE2A,5138
PDF,64146
PDGFB,5155
PEA15,8682
PEAR1,375033
PECAM1,5175
PELI1,57162
PET112L,5188
PFKM,5213
PFN2,5217
PGP,283871
PHB,5245
PHKA2,5256
PHKG2,5261
PIAS2,9063
PIGQ,9091
PJA2,9867
PLA2G4F,255189
PLCB1,23236
PLCD3,113026
PLCG2,5336
PLD2,5338
PLEK2,26499
PLEKHA2,59339
PLEKHG1,57480
PLEKHJ1,55111
PLLP,51090
PLSCR4,57088
PLVAP,83483
PLXNA2,5362
PLXNB1,5364
PLXND1,23129
PNPLA6,10908
POLDIP2,26073
POR,5447
PPAP2A,8611
PPAP2B,8613
PPFIBP2,8495
PPIP5K1,9677
PPP2R3C,55012
PPP2R5A,5525
PPP3CC,5533
PPP3R1,5534
PPP5C,5536
PRDM1,639
PRKAG2,51422
PRKCD,5580
PRKCH,5583
PRKRIR,5612
PRMT8,56341
PRRG2,5639
PRSS23,11098
PSIP1,11168
PSKH1,5681
PTCD1,26024
PTENP1,11191
PTEN,5728
PTGER3,5733
PTGES2,80142
PTPN23,25930
PTPRB,5787
PTRH1,138428
PVALB,5816
PWWP2A,114825
PXK,54899
PXMP4,11264
PYGB,5834
QARS,5859
QKI,9444
RAB11B,9230
RAB1B,81876
RABL5,64792
RALGPS1,9649
RAMP2,10266
RAMP3,10268
RAP1GAP,5909
RAP2A,5911
RAPGEF4,11069
RASGRF2,5924
RASGRP3,25780
RBM22,55696
RBMS3,27303
RELL2,285613
REPIN1,29803
RGS12,6002
RGS5,8490
RHBDF1,64285
RHBG,57127
RHCG,51458
RHOJ,57381
RHOT2,89941
RHPN1,114822
RIOK2,55781
RLF,6018
RMND5B,64777
RNF123,63891
RNF125,54941
RNF219,79596
RNF40,9810
RNH1,6050
ROBO4,54538
RPP14,11102
RPS6KA1,6195
RPTOR,57521
RPUSD3,285367
RRP9,9136
RSBN1,54665
RTDR1,27156
RUVBL1,8607
S1PR1,1901
SACM1L,22908
SAMD13,148418
SAP30,8819
SAV1,60485
SC5DL,6309
SCAMP4,113178
SCAP,22937
SCNN1A,6337
SCRIB,23513
SDR39U1,56948
SDSL,113675
SEC14L1,6397
SEPT4,5414
SETMAR,6419
SGSH,6448
SGSM3,27352
SH2B1,25970
SH2B3,10019
SH2D3C,10044
SH2D4A,63898
SH3BP4,23677
SH3BP5,9467
SH3GLB1,51100
SH3GLB2,56904
SHE,126669
SHROOM4,57477
SIRT1,23411
SIRT5,23408
SIRT7,51547
SLBP,7884
SLC12A9,56996
SLC25A11,8402
SLC25A35,399512
SLC25A38,54977
SLC25A39,51629
SLC25A4,291
SLC25A5,292
SLC26A11,284129
SLC26A7,115111
SLC27A4,10999
SLC29A2,3177
SLC39A13,91252
SLC39A3,29985
SLC43A2,124935
SLC44A4,80736
SLC4A1,6521
SLC4A2,6522
SLC6A20,54716
SLC9A2,6549
SLCO1C1,53919
SLFN11,91607
SMARCA4,6597
SMCR7,125170
SMEK2,57223
SMO,6608
SMPDL3B,27293
SNTB1,6641
SNX33,257364
SOCS5,9655
SP3,6670
SP4,6671
SPAG7,9552
SPATA12,353324
SPEF1,25876
SPNS1,83985
SPRED1,161742
SPRY1,10252
SPRY3,10251
SPRY4,81848
SPSB4,92369
SPTBN4,57731
SREBF2,6721
SRP72,6731
SSBP3,23648
ST14,6768
ST3GAL6,10402
ST8SIA5,29906
STARD10,10809
STARD13,90627
STC2,8614
STIM2,57620
STK11IP,114790
STK33,65975
STON1,11037
STRBP,55342
STXBP2,6813
SUMF1,285362
SVIP,258010
SVOPL,136306
SYNGR3,9143
SYNPO,11346
SYT17,51760
SYT7,9066
TACC1,6867
TADA2B,93624
TADA3,10474
TAF5,6877
TAF6,6878
TAOK3,51347
TARBP2,6895
TAX1BP3,30851
TBC1D14,57533
TBC1D1,23216
TBC1D24,57465
TBCD,6904
TBRG4,9238
TCF4,6925
TCP11L1,55346
TCTN1,79600
TELO2,9894
TENC1,23371
TEX264,51368
TFCP2L1,29842
TFIP11,24144
THRB,7068
TIE1,7075
TIMP3,7078
TJP3,27134
TK2,7084
TLR3,7098
TMC4,147798
TMCC1,23023
TMED1,11018
TMEM101,84336
TMEM102,284114
TMEM104,54868
TMEM115,11070
TMEM116,89894
TMEM117,84216
TMEM129,92305
TMEM141,85014
TMEM204,79652
TMEM213,155006
TMEM26,219623
TMEM30B,161291
TMEM33,55161
TMEM38A,79041
TMEM51,55092
TMEM55A,55529
TMEM55B,90809
TMEM61,199964
TMEM66,51669
TMEM8A,58986
TMEM8B,51754
TMEM98,26022
TMEM9B,56674
TMPRSS2,7113
TMPRSS7,344805
TMTC1,83857
TMUB2,79089
TNFRSF12A,51330
TNFSF13,8741
TNK1,8711
TNS1,7145
TOM1,10043
TOR1AIP1,26092
TP53I11,9537
TP53INP2,58476
TPK1,27010
TPST2,8459
TRAF4,9618
TRAF7,84231
TRAK1,22906
TRAPPC6B,122553
TRIM2,23321
TRIP6,7205
TRPC4,7223
TRPM4,54795
TSC22D4,81628
TSEN2,80746
TSEN54,283989
TSFM,10102
TSPAN1,10103
TSPAN7,7102
TSSK6,83983
TTC7A,57217
TTLL1,25809
TUBG1,7283
TUFM,7284
TUSC2,11334
TUSC3,7991
TXNRD2,10587
UACA,55075
UAP1,6675
UBAC1,10422
UBAC2,337867
UBE2E2,7325
UBE2J1,51465
UBE2QL1,134111
UBE3A,7337
UBL3,5412
UNC119,9094
UQCRC1,7384
USP19,10869
USP48,84196
UST,10090
VAC14,55697
VARS2,57176
VARS,7407
VEGFA,7422
VPS25,84313
VTI1B,10490
WAC,51322
WBSCR17,64409
WDR24,84219
WDR6,11180
WIPI1,55062
WIPI2,26100
YIPF2,78992
YIPF5,81555
ZBTB47,92999
ZDHHC12,84885
ZDHHC16,84287
ZDHHC1,29800
ZDHHC23,254887
ZDHHC3,51304
ZEB1,6935
ZEB2,9839
ZFP82,284406
ZHX1,11244
ZMYND10,51364
ZNF136,7695
ZNF143,7702
ZNF227,7770
ZNF22,7570
ZNF25,219749
ZNF275,10838
ZNF280D,54816
ZNF304,57343
ZNF366,167465
ZNF383,163087
ZNF395,55893
ZNF420,147923
ZNF45,7596
ZNF484,83744
ZNF48,197407
ZNF615,284370
ZNF644,84146
ZNF777,27153
