official gene symbol,gene id
MIR548F5,100302239
MIR600,693185
MIR618,693203
MIR628,693213
MIR641,693226
MIR744,100126313
MIR759,100313778
MIR762,100313837
MIR874,100126343
MIR938,100126327
MIR942,100126331
MIR99B,407056
MIRLET7A3,406883
MIRLET7D,406886
MIRLET7E,406887
MITF,4286
MLL5,
MLLT1,4298
MLLT3,4300
MLLT6,4302
MMP7,4316
MMRN2,79812
MOG,4340
MORF4L1,10933
MPP4,58538
MPPED2,744
MPZ,4359
MRPL23,6150
MRPS9,64965
MRVI1,
MSI2,124540
MTL5,
MTPN,136319
MTSS1,9788
MTUS1,57509
MUC12,10071
MUC15,143662
MUC20,200958
MUSK,4593
MUSTN1,389125
MYH7B,57644
MYLK,4638
MYO10,4651
MYO1B,4430
MYO7A,4647
MYOM1,8736
MYOT,9499
MYOZ1,58529
MYPOP,339344
MYST4,
NAALADL1,10004
NAT8,9027
NBEA,26960
NCDN,23154
NCOA1,8648
NCOR2,9612
NCRNA00203,
NDRG1,10397
NDRG2,57447
NDUFA4L2,56901
NDUFS2,4720
NEK10,152110
NEURL1B,54492
NFIC,4782
NFYC,4802
NHLH1,4807
NHLRC4,283948
NLK,51701
NOSTRIN,115677
NOTCH1,4851
NPTN,27020
NPY,4852
NR0B2,8431
NR1H4,9971
NR3C2,4306
NRIP2,83714
NTHL1,4913
NUAK2,81788
NUDT3,11165
NUP210L,91181
OAZ2,4947
ODAM,54959
OGDH,4967
OLA1,29789
OLFML1,283298
OPA3,80207
OR5E1P,26343
OR6Q1,219952
OSR2,116039
P11,
PA2G4P4,647033
PALM2-AKAP2,
PALM3,342979
PARD3B,117583
PARM1,25849
PARP4,143
PART1,25859
PATZ1,23598
PBX1,5087
PBX2,5089
PBXIP1,57326
PCDH1,5097
PCDHGC3,5098
PCDHGC4,56098
PCDHGC5,56097
PDE4DIP,9659
PDF,64146
PDIA5,10954
PDZK1IP1,10158
PEX14,5195
PFKFB3,5209
PGBD2,267002
PHF21A,51317
PHGDH,26227
PI4KB,5298
PIGQ,9091
PIGZ,80235
PIK3C2G,5288
PKMYT1,9088
PLA2G3,50487
PLA2G4B,100137049
PLA2G4F,255189
PLAC4,191585
PLAGL2,5326
PLCG2,5336
PLD3,23646
PLEKHA4,57664
PLEKHA6,22874
PLEKHA7,144100
PLEKHB1,58473
PLXND1,23129
PMFBP1,83449
PNKP,11284
PODXL2,50512
POLN,353497
PPAP2B,
PPARGC1A,10891
PPDPF,79144
PPM1H,57460
PPM1L,151742
PPP2R5C,5527
PQLC3,
PRKCA,5578
PRKCZ,5590
PRO0611,
PROM2,150696
PROZ,8858
PRTG,283659
PRUNE2,158471
PSMD1,5707
PSMG4,389362
PSPN,5623
PTGER3,5733
PTMS,5763
PTPRF,5792
PTPRG,5793
PUSL1,126789
PVRL4,
PWWP2B,170394
PXDNL,137902
PXK,54899
PXN,5829
PYGB,5834
PYGM,5837
PYGO2,90780
RAB15,376267
RAB43,339122
RAB5C,5878
RAD51L1,
RAD54L2,23132
RAI1,10743
RALGPS2,55103
RAP1GAP,5909
RAPGEF2,9693
RARG,5916
RASA4P,
RASGEF1C,255426
RASSF7,8045
RASSF9,9182
RAVER2,55225
RBM4,5936
RCN3,57333
RECQL5,9400
RER1,11079
RERE,473
REV1,51455
RFTN2,130132
RHBG,57127
RHOBTB3,22836
RICS,
RIMKLB,57494
RIMS3,9783
RINL,126432
RIOK3,8780
RIPK3,11035
RNF112,7732
RNF150,57484
RNF216,54476
RNH1,6050
RNU5D,
RNU5E,
RPH3AL,9501
RPL12,6136
RPL13AP17,399670
RPS6,6194
RRAGD,58528
RSAD1,55316
RSPH6A,81492
RSPH9,221421
RTN4,57142
SBNO2,22904
SCAMP4,113178
SCARB2,950
SCN2B,6327
SCOC,60592
SCUBE3,222663
SEC14L1,6397
SEC24C,9632
SEMA3F,6405
SEMA5B,54437
SENP6,26054
SEPX1,
SERGEF,26297
SERPINA3,12
SETBP1,26040
SEZ6L2,26470
SFRS1,
SFXN1,94081
SH2B2,10603
SH2D4A,63898
SH3BP4,23677
SH3GLB2,56904
SHANK3,85358
SHB,6461
SHROOM3,57619
SIX5,147912
SKI,6497
SLAIN2,57606
SLC12A3,6559
SLC12A4,6560
SLC16A5,9121
SLC17A3,10786
SLC1A1,6505
SLC20A1,6574
SLC22A20,
SLC22A23,63027
SLC23A2,9962
SLC27A1,376497
SLC28A1,9154
SLC39A2,29986
SLC3A1,6519
SLC43A2,124935
SLC44A3,126969
SLC4A1,6521
SLC9A2,6549
SLC9A3R2,
SMAD2,4087
SMAD7,4092
SMCR5,140771
SMG6,23293
SNHG1,23642
SNHG4,724102
SNORA23,677808
SNORA27,619499
SNORA38,677820
SNORA4,619568
SNORA43,
SNORA65,26783
SNORA74B,677841
SNORA75,654321
SNORA80B,100302743
SNORD102,26771
SNORD117,692233
SNORD22,9304
SNORD29,9297
SNORD30,9299
SNORD31,9298
SNORD47,26802
SNORD59B,692090
SNORD71,692111
SNORD78,692198
SNORD79,26770
SNORD80,26774
SNORD81,26769
SNRK,54861
SNTB1,6641
SNX18,112574
SNX29,92017
SNX33,257364
SOCS1,8651
SOS2,6655
SOX10,6663
SOX13,9580
SP4,6671
SPAG9,9043
SPARCL1,8404
SPIN1,10927
SPINK7,84651
SPOP,8405
SPP1,6696
SPTBN1,6711
SPTBN2,6712
SRCRB4D,
SREBF1,6720
SRGAP1,57522
SRGAP3,9901
SSBP3,23648
SSBP4,170463
SSH1,54434
ST7OT3,
STAP1,26228
STAP2,55620
STARD13,90627
STK39,27347
STON2,85439
STRN4,29888
SULT6B1,391365
SYMPK,8189
SYNJ2BP,55333
TAC3,6866
TACC2,10579
TANC1,85461
TAT,6898
TBC1D1,23216
TBC1D10B,26000
TBC1D24,57465
TBCK,93627
TBL1XR1,79718
TBX2,6909
TCF12,6938
TEAD3,7005
TEPP,
TESC,54997
TFCP2L1,29842
TG,7038
THRSP,7069
TIGD3,220359
TIGD5,84948
TIMD4,91937
TK1,7083
TLE3,7090
TM4SF18,116441
TMEM119,338773
TMEM133,
TMEM150B,284417
TMEM204,79652
TMEM211,
TMEM212,389177
TMEM84,
TMEM88,92162
TMEM8B,51754
TMEM8C,
TMOD4,29765
TMPRSS13,84000
TMPRSS2,7113
TMPRSS7,344805
TNFSF9,8744
TNK1,8711
TNS1,7145
TNS3,64759
TOM1,10043
TOM1L1,10040
TOM1L2,146691
TOX3,27324
TPD52,7163
TPH1,7166
TPK1,27010
TPST1,8460
TRAF3IP2,10758
TRAK1,22906
TRAM2,9697
TRIM13,10206
TRIM54,57159
TRIM66,9866
TRIM8,81603
TRIT1,54802
TRPV6,55503
TSC22D2,9819
TSC22D4,81628
TSGA10IP,254187
TSPAN18,90139
TSPAN9,10867
TSTD1,100131187
TTC22,55001
TTF2,8458
TTLL11,158135
UBASH3B,84959
UBE2N,7334
UBE2R2,54926
UBR5,51366
UCN,7349
USHBP1,83878
USP46,64854
USP47,55031
USP7,7874
UVRAG,7405
VANGL2,57216
VAV2,7410
VDR,7421
VMO1,284013
VPS13D,55187
WDR1,9948
WDR88,126248
WDSUB1,151525
WFDC5,149708
WHSC1L1,
WIPF3,644150
WIPI2,26100
WNK1,65125
YOD1,55432
ZBTB10,65986
ZBTB40,9923
ZBTB43,23099
ZBTB46,140685
ZDHHC3,51304
ZMIZ1,57178
ZMYND15,84225
ZMYND17,
ZNF320,162967
ZNF484,83744
ZNF592,9640
ZNF608,57507
ZNF609,23060
ZNF664,144348
ZNF750,79755
ZNF808,388558
ZNF827,152485
ZNRF1,84937
ZNRF2,223082
ZNRF3,84133
ZP3,7784
